keys,en,zh_Hans_CN,zh_HK,ja,ko,eo
Setting,Setting,设置,設定,設定,환경,Agordo
Create Todo,Create Todo,创建待办,創建待辦,今後の予定を作成する,할 일 만들기,Kreu Ĉion
Delete Todo,Delete Todo,删除待办,刪除待辦,今後の予定を削除する,할 일 삭제,Forigi Ĉion
Move to,Move to,移动至,移動至,へ引っ越す,다음으로 이동,Movi al
Theme Setting,Theme Setting,主题设置,主題設定,テーマの設定,테마 설정,Temo Agordo
Light,Light,白天,白天,ライト,빛,Lumo
Localization,Localization,本地化,在地化,ローカリゼーション,현지화,Lokigo
Language,Language,语言,語言,言語,언어,Lingvo
Animation,Animation,动画,動畫,アニメーション,생기,Animacio
Enable Animation,Enable Animation,启用动画,啟用動畫,アニメーションを有効にする,애니메이션 활성화,Ebligu Animacion
Ture,Ture,开启,開啟,真実,진실,Vere
False,False,关闭,關閉,間違い,거짓,MALSO
New Todo,New Todo,新待办,新待辦,新しい今後の予定,새로운 할 일,Nova Ĉio
Expired,Expired,过期,過期,期限切れ,만료됨,Eksvalidiĝis
Yesterday,Yesterday,昨天,昨天,昨日,어제,Hieraŭ
Today,Today,今天,今天,今日,오늘,Hodiaŭ
Tomorrow,Tomorrow,明天,明天,明日,내일,Morgaŭ
Week,Week,本周,本週,週,주,Semajno
Create Task,Create Task,创建任务,創建任務,タスクの作成,작업 만들기,Krei Taskon
Delete Task,Delete Task,删除任务,刪除任務,タスクの削除,작업 삭제,Forigi Taskon
New Task,New Task,新任务,新任務,新しい仕事,새 작업,Nova Tasko
Layout Mode,Layout Mode,布局方式,佈局管道,レイアウトモード,레이아웃 모드,Aranĝa Reĝimo
Drag Mode,Drag Mode,拖动布局,拖動佈局,ドラッグモード,드래그 모드,Trena Reĝimo
Grid Mode,Grid Mode,网格布局,網格佈局,グリッドモード,그리드 모드,Krada Reĝimo
